,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Place,Place Latitude,Place Longitude,Place Category
1,Dampoort,51.052589619954055,3.750148378538956,Volkshuis De Roos,51.049026941585616,3.747332410316525,Pub
3,Dampoort,51.052589619954055,3.750148378538956,Mevlana 42 Gent,51.05287152661565,3.7467333428980014,Kebab Restaurant
9,Dampoort,51.052589619954055,3.750148378538956,Dedeoglu,51.053945693076926,3.743484858672223,Fast Food Restaurant
13,Dampoort,51.052589619954055,3.750148378538956,Café Botèco,51.04929413055749,3.744295810980146,Bar
15,Dampoort,51.052589619954055,3.750148378538956,Pitta Sari,51.05278227601007,3.7474459012523487,Doner Restaurant
17,Dampoort,51.052589619954055,3.750148378538956,'t Muzikantje,51.051891450858186,3.7562755665419383,Bar
19,Dampoort,51.052589619954055,3.750148378538956,Pitta Yavuz,51.05222983829006,3.7483978271484375,Doner Restaurant
25,Dampoort,51.052589619954055,3.750148378538956,Gürcan Grill-Snack,51.05267559036181,3.746970891952514,Kebab Restaurant
35,Bloemekenswijk,51.070787226363926,3.707591075360457,Snack Yasmin,51.07119886714952,3.709484267349776,Doner Restaurant
36,Bloemekenswijk,51.070787226363926,3.707591075360457,Orhan Usta,51.07280693941694,3.709798111706557,Kebab Restaurant
38,Bloemekenswijk,51.070787226363926,3.707591075360457,Café 't Pleintje,51.072583841327045,3.709361401688831,Bar
42,Bloemekenswijk,51.070787226363926,3.707591075360457,Museumcafé Het Badhuis,51.06757333846979,3.704244266657125,Bar
43,Bloemekenswijk,51.070787226363926,3.707591075360457,Ottoman Grillhouse,51.071738,3.709891,Turkish Restaurant
49,Bloemekenswijk,51.070787226363926,3.707591075360457,Arif Usta,51.072483,3.7092104,Doner Restaurant
58,Bloemekenswijk,51.070787226363926,3.707591075360457,La Carioca,51.06816050336208,3.707883935392475,Bar
59,Bloemekenswijk,51.070787226363926,3.707591075360457,Black And White Shisha,51.07178283537465,3.710432917466424,Hookah Bar
71,Rabot  - Blaisantvest,51.06317025937241,3.712477260824061,'T Floere Foefke,51.059506,3.718594,Pub
73,Rabot  - Blaisantvest,51.06317025937241,3.712477260824061,Eén Twee Vijf,51.064236,3.718517,Comfort Food Restaurant
77,Rabot  - Blaisantvest,51.06317025937241,3.712477260824061,Café De Limiet,51.0605181863793,3.7100251471859376,Bar
80,Rabot  - Blaisantvest,51.06317025937241,3.712477260824061,Pitta Kemer,51.0622300510008,3.710077843536773,Doner Restaurant
85,Rabot  - Blaisantvest,51.06317025937241,3.712477260824061,Pitta Hishär,51.06471598148346,3.709087371826172,Doner Restaurant
86,Rabot  - Blaisantvest,51.06317025937241,3.712477260824061,Eetcafé Toreke,51.063397736607456,3.711980612885328,Bar
87,Rabot  - Blaisantvest,51.06317025937241,3.712477260824061,Café Rabot,51.05958556854852,3.711351156234741,Bar
96,Moscou - Vogelhoek,51.02592807195837,3.759759140108055,Lange Muur,51.02891420860036,3.76699374958456,Asian Restaurant
97,Moscou - Vogelhoek,51.02592807195837,3.759759140108055,Xavier's Sandwichbar,51.02957432446771,3.7658348988992425,Sandwich Restaurant
98,Moscou - Vogelhoek,51.02592807195837,3.759759140108055,Wit Paard,51.02905827253777,3.7668292889572017,Bar
104,Moscou - Vogelhoek,51.02592807195837,3.759759140108055,Cafe Centraal,51.02553464658798,3.757037786659107,Bar
108,Moscou - Vogelhoek,51.02592807195837,3.759759140108055,Verbeke/Rosine,51.025369,3.756859,Bar
111,Moscou - Vogelhoek,51.02592807195837,3.759759140108055,Delirium,51.029,3.754287,Bar
113,Moscou - Vogelhoek,51.02592807195837,3.759759140108055,De Gouden Schoen,51.029595,3.764689,Restaurant
115,Moscou - Vogelhoek,51.02592807195837,3.759759140108055,Fallstaf,51.031262,3.759195,Bar
