,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Place,Place Latitude,Place Longitude,Place Category,node_ids,Score,id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,priv_bath,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_90,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,hrt_a few days or more,hrt_within a day,hrt_within a few hours,hrt_within an hour,rt_Entire home/apt,rt_Hotel room,rt_Private room,rt_Shared room,pt_Apartment,pt_House,pt_Other,pt_Room
0,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,9087777,47388258,within an hour,1.0,0.97,0,3,6,1,51.05048,3.74484,Room,Private room,2,0.0,1.5,1,1.0,22.0,1,1125,39,504,65,2020-10-13,4.64,4.85,4.77,4.88,4.9,4.48,4.69,1,7.32,0,0,0,1,0,0,1,0,0,0,0,1
1,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,10083084,47388258,within an hour,1.0,0.97,0,3,6,1,51.05032,3.74704,Room,Private room,2,0.0,1.5,1,1.0,23.0,1,1125,50,565,58,2020-09-25,4.54,4.76,4.71,4.81,4.83,4.37,4.62,1,8.41,0,0,0,1,0,0,1,0,0,0,0,1
2,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,11454300,8053341,within an hour,1.0,0.94,1,2,6,1,51.05018,3.75126,Apartment,Entire home/apt,2,1.0,1.5,1,1.0,64.0,2,1125,27,15,4,2021-07-04,4.43,4.23,4.43,4.43,4.36,4.14,4.57,1,0.24,0,0,0,1,1,0,0,0,1,0,0,0
3,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,12423613,24194314,within an hour,1.0,0.96,1,1,8,1,51.0541,3.74264,Other,Entire home/apt,2,1.0,1.0,1,1.0,85.0,2,1125,77,215,12,2019-09-06,4.8,4.92,4.92,4.94,4.93,4.58,4.78,1,3.49,0,0,0,1,1,0,0,0,0,0,1,0
4,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,14541839,40930356,within a few hours,1.0,1.0,1,1,5,1,51.04973,3.74725,Apartment,Entire home/apt,2,1.0,1.0,1,1.0,44.0,2,1125,13,175,1,2019-10-01,4.78,4.81,4.9,4.88,4.79,4.48,4.8,0,2.96,0,0,1,0,1,0,0,0,1,0,0,0
5,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,14877515,93264204,within an hour,1.0,0.83,1,1,6,1,51.05066,3.76195,Room,Private room,2,1.0,1.0,1,1.0,36.0,1,7,80,232,12,2020-02-12,4.83,4.92,4.9,4.97,4.94,4.51,4.82,0,3.99,0,0,0,1,0,0,1,0,0,0,0,1
6,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,15306836,9347190,within a day,1.0,1.0,0,1,5,1,51.05727,3.74099,Room,Private room,2,0.0,1.0,1,1.0,50.0,3,1125,72,75,1,2018-07-07,4.82,4.85,4.69,4.92,4.93,4.61,4.77,1,1.3,0,1,0,0,0,0,1,0,0,0,0,1
7,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,22094809,98213585,within an hour,1.0,1.0,0,3,8,1,51.0555,3.74192,Apartment,Entire home/apt,8,1.0,1.5,3,7.0,170.0,3,1122,75,50,2,2019-04-08,4.38,4.62,4.16,4.84,4.66,4.52,4.32,1,1.82,0,0,0,1,1,0,0,0,1,0,0,0
8,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,22710220,18970937,within an hour,1.0,0.97,1,2,9,1,51.06025,3.74344,House,Entire home/apt,4,1.0,2.5,2,2.0,70.0,2,1125,37,34,17,2019-12-08,4.97,4.91,4.76,5.0,4.97,4.65,4.97,0,0.82,0,0,0,1,1,0,0,0,0,1,0,0
9,Dampoort,51.052589619954055,3.750148378538956,Bijgaardepark,51.05095852559852,3.743387460708618,Park,2468647735,573.4450073242188,23245483,59239296,within a day,1.0,0.33,0,1,6,1,51.05083,3.7498,House,Entire home/apt,4,1.0,1.0,2,2.0,119.0,4,35,64,8,0,2020-01-31,4.75,4.88,4.88,4.88,4.88,4.38,4.5,0,0.23,0,1,0,0,1,0,0,0,0,1,0,0
